route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
1180,orgp,80,"УЛ. ЖЕНИ ЕГОРОВОЙ - Ж.-Д. СТАНЦИЯ ""ПИСКАРЁВКА""",3,bus,0,1,0
1504,orgp,46,"СТАНЦИЯ МЕТРО ""ЛАДОЖСКАЯ"" - БЕЛООСТРОВСКАЯ УЛ.",3,bus,0,1,0
1547,orgp,189,"УЛ. ГРИБАКИНЫХ - ПОС. САПЕРНЫЙ, МЕБЕЛЬНЫЙ КОМБИНАТ",3,bus,0,1,0
1600,orgp,128,"АВТОБУСНАЯ СТАНЦИЯ  ""НАЛИЧНАЯ УЛ."" - АПТЕКАРСКАЯ НАБ.",3,bus,0,1,0
1621,orgp,81,"А.С. ""СЧАСТЛИВАЯ УЛ."" - ПОС. ТОРИКИ",3,bus,0,1,0
1661,orgp,1Л,"Г. ЛОМОНОСОВ, ВОКЗАЛ - МАЛАЯ ИЖОРА",3,bus,0,1,0
1662,orgp,2КР,"Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-ФОРТ ""ШАНЦ""",3,bus,0,1,0
1663,orgp,3КР,"Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-КВАРТАЛ 19-Б",3,bus,0,1,0
1664,orgp,3Л,"Г. ЛОМОНОСОВ, ВОКЗАЛ - Г. ЛОМОНОСОВ, ВОКЗАЛ",3,bus,1,1,0
1669,orgp,10,"А.С.""КРЕСТОВСКИЙ ОСТРОВ""-БАЛТИЙСКИЙ ВОКЗАЛ",3,bus,0,1,0
1672,orgp,18А,"УЛ.СТОЙКОСТИ - СТАНЦИЯ МЕТРО ""ЛЕНИНСКИЙ ПРОСПЕКТ""",3,bus,0,1,0
1673,orgp,25,"А.С.""КРЕСТОВСКИЙ ОСТРОВ""-БЕЛООСТРОВСКАЯ УЛ.",3,bus,0,1,0
1674,orgp,26,"А.С. ""КИРОВСКИЙ ЗАВОД"" - МОСКОВСКИЙ ВОКЗАЛ",3,bus,0,1,0
